시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
시점,남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명)
2017.05,75896,78397,61432,62632,110885,117980,150153,153665,174496,182632,176682,176732,204173,205613,219047,229716,160131,166415,169867,176092,274556,289700,237773,251370,152448,162240,180970,197227,234569,240093,292176,307114,206554,208892,120324,116151,184162,184862,195252,204359,255601,251022,213267,231354,270144,294022,321569,339202,223651,225756
2017.06,75924,78484,61343,62627,110874,117987,150185,153864,174510,182742,176485,176546,204338,205928,218694,229410,160103,166460,169835,176110,273757,289024,237387,251003,152428,162350,180722,197069,234222,239961,292676,307647,206322,208749,120273,116093,184257,184917,195020,204318,255488,250844,212806,230980,269762,293686,321807,339411,223355,225598
2017.07,76084,78718,61325,62601,110793,117973,150246,153990,174531,182888,176291,176423,204469,206096,218490,229240,159883,166291,169714,176093,273052,288360,236991,250704,152329,162373,180595,196973,234136,239772,292924,307928,206051,208622,120104,116025,184183,184863,194962,204229,255264,250729,212479,230751,269558,293492,322035,339545,222550,224894
2017.08,76162,78873,61766,63027,110826,117994,150456,154329,174615,183185,176187,176204,204351,206095,218196,229041,159742,166230,169618,176069,272216,287566,236830,250591,152210,162357,180278,196785,233884,239525,293088,308194,205576,208183,119959,115965,183988,184670,194787,204115,255046,250685,212355,230689,269206,293010,322176,339830,221495,223847
2017.09,76155,78954,62011,63321,110838,118122,150523,154356,174534,183209,176022,175989,204232,205877,217785,228672,159528,166024,169388,175905,271619,286813,236870,250637,151961,162221,180037,196573,233489,239241,293024,308367,205174,207798,119738,115870,184060,184758,194549,203952,254784,250404,212189,230644,268592,292235,322029,339721,220064,222590
2017.1,76138,78965,62123,63322,110897,118221,150501,154327,174492,183173,175914,175818,204072,205683,217307,228287,159425,165949,169309,175837,270975,286282,236741,250614,151822,162115,179685,196229,233272,239072,292979,308453,204895,207527,119658,115828,184269,184766,194223,203688,254472,250177,211958,230472,268025,291482,322518,340404,218885,221564
2017.11,75999,78907,62194,63386,110859,118199,150448,154412,174483,183290,175584,175600,203704,205355,216893,227911,159239,165794,169139,175717,270218,285557,236581,250481,151448,161885,179324,196092,232884,238899,293017,308589,204489,207202,119600,115790,184256,184764,193776,203345,254056,249929,211561,230185,267104,290563,322887,340779,217602,220191
2017.12,75967,78803,62253,63456,110878,118283,150368,154440,174414,183289,175324,175323,203325,204901,216556,227499,158918,165561,168759,175407,269508,284895,236353,250441,151144,161656,178939,195976,232518,238636,292989,308702,204003,206739,119497,115657,183975,184575,193255,202962,253661,249636,211236,229866,266442,289722,323147,341349,216777,219446
2018.01,75854,78765,62267,63519,111100,118441,150316,154639,174428,183357,175005,175113,203027,204704,216094,227203,158787,165501,168572,175303,268939,284325,236140,250411,151028,161627,178870,195908,232224,238460,292964,308789,203580,206252,119449,115601,184145,184765,192817,202703,253711,249946,211271,229817,266129,289493,323320,341748,216308,219032
2018.02,75746,78763,62328,63617,111186,118584,150362,154838,174323,183377,174810,175091,202739,204398,215786,227041,158592,165416,168316,175091,268237,283802,235946,250285,151018,161607,178820,195974,232019,238271,292960,308890,202908,205721,119259,115377,184177,184822,192515,202384,253695,250124,211342,230018,265688,289084,323298,341981,216001,218709
2018.03,75749,78800,62376,63706,111262,118647,150937,155595,173946,183203,174476,174832,202526,204342,215421,226805,158440,165422,168009,174852,268144,283758,235674,250228,150793,161518,178661,196081,231409,237812,292871,308825,202731,205638,119023,115215,184127,185001,192215,202138,253911,250534,211156,229798,264834,288142,323228,342054,215588,218439
2018.04,75543,78769,62295,63691,111279,118660,151358,156102,173783,182974,174259,174657,202313,204181,215078,226540,158209,165151,167828,174700,267633,283345,235448,250124,150550,161349,178570,196085,231057,237482,292701,308624,202458,205432,118791,115018,184100,185083,192116,202133,253811,250626,210982,229592,263930,287210,323157,342162,215265,218248
2018.05,75421,78683,62353,63799,111238,118658,151409,156221,173435,182741,173973,174489,202067,204035,214710,226227,157935,164867,167642,174592,267218,282948,235176,249945,150310,161229,178518,196112,230624,237100,292295,308503,202189,205340,118679,114904,184040,185190,192231,202333,253624,250403,210799,229367,262714,286031,323307,342313,214934,218100
2018.06,75247,78533,62260,63772,111078,118599,151571,156495,173216,182532,174128,174775,201803,203748,214430,225842,157769,164616,167465,174463,266826,282539,234905,249737,150131,161149,178430,196261,230322,236829,291966,308291,202016,205219,118530,114733,183888,185115,192296,202492,253600,250448,210596,229248,261815,285137,323741,342698,214740,218009
2018.07,75111,78420,62191,63750,111004,118541,151711,156808,172953,182399,174581,175336,201592,203526,213907,225385,157465,164292,167306,174332,266317,282054,234523,249498,149875,160946,178318,196261,230084,236639,291473,308028,201853,205035,118472,114673,183678,185055,192425,202670,253487,250413,210157,228873,261318,284491,324043,343101,214411,217757
2018.08,75059,78342,62108,63694,110932,118516,151924,157113,172766,182343,174876,175711,201254,203397,213498,225121,157060,163910,167086,174166,265851,281673,234352,249421,149727,160866,178073,196174,229770,236497,291131,307628,201617,204852,118312,114478,183517,185106,192517,202954,253397,250443,209792,228453,260979,284106,323988,343163,213943,217419
2018.09,75024,78372,62063,63752,110861,118530,152006,157245,172678,182354,174863,175693,201089,203224,213159,224872,156829,163747,166926,173950,265555,281356,234119,249298,149728,160856,177973,196133,229619,236502,290908,307508,201362,204782,118311,114449,183471,185106,192523,202990,253377,250579,209418,227989,260599,283658,323832,343060,213528,217177
2018.1,74942,78354,62008,63795,110892,118479,151893,157254,172674,182467,174606,175528,200836,203058,212667,224557,156565,163529,166644,173704,265158,280950,234079,249394,149469,160611,178171,196427,229355,236202,290586,307237,201022,204591,118275,114369,183321,184978,192316,202922,253134,250389,208955,227322,260426,283481,323692,343094,212988,216746
2018.11,74881,78291,61960,63800,110834,118507,151711,157062,172816,182739,174109,175138,200623,202921,212215,224299,156264,163255,166371,173435,264616,280376,233954,249486,149553,160690,178284,196670,229070,235842,290377,307055,200676,204337,118809,114857,183224,184711,192181,203085,252514,249978,208299,226580,259765,282906,323466,342965,212345,216186
2018.12,74825,78240,61947,63778,110640,118359,151359,156862,172794,182765,173567,174485,200419,202790,211904,223964,156071,163093,166160,173253,263919,279833,233702,249495,149569,160744,178240,196837,228634,235551,290079,306870,200417,204080,118915,115002,183224,184554,192533,203670,252160,249797,207868,226083,259611,282753,323526,343109,211816,215757
2019.01,74700,78166,62025,63847,110652,118515,151071,156652,172712,182670,173171,174244,200252,202722,211557,223713,155900,162861,165839,172995,263324,279420,233800,249713,149822,160987,178181,197091,228272,235336,289907,306955,200131,203918,119001,115152,183263,184786,193074,204361,252073,249926,207687,225933,259553,282601,325474,345418,211381,215484
2019.02,74662,78218,62048,63947,110682,118597,150682,156382,172649,182738,173239,174220,199996,202620,211649,224105,155596,162672,165573,172800,262888,278912,234044,250026,150102,161598,178039,197333,227993,235110,289661,306941,199874,203794,119004,115153,183440,184997,193624,205061,252249,250186,207645,225920,259712,282629,327592,347858,210962,215216
2019.03,74536,78242,61992,63950,110626,118542,150287,156117,172361,182512,172784,173966,199730,202473,212830,225415,155075,162311,165314,172506,262593,278581,234064,250210,150103,161668,177872,197234,227678,234921,289454,306833,200367,204359,118913,115068,183493,185331,193622,205264,252307,250308,207206,225556,259510,282344,329046,349475,210371,214896
2019.04,74401,78094,61952,63961,110504,118436,149928,155857,172010,182334,172478,173834,199408,202138,213501,226253,154642,161962,165073,172273,261866,278018,233977,250290,149989,161597,177652,197172,227435,234691,289364,306869,200688,204828,118976,115197,183546,185328,193709,205409,252037,250214,206997,225339,259575,282533,329655,350169,210111,214616
2019.05,74240,77980,61940,63868,110486,118440,149718,155718,171900,182258,172425,173876,199140,201793,213590,226492,154356,161688,164926,172146,261428,277702,233723,250249,149823,161485,177584,197135,227140,234392,289201,306908,200593,204755,118913,115220,183598,185466,193600,205484,252016,250313,206695,225056,259616,282728,329569,350273,209865,214552
2019.06,74190,77836,62086,64057,110560,118562,149412,155524,171800,182078,172490,174011,198906,201755,213648,226749,154101,161486,164731,171967,260946,277404,233566,250164,149775,161440,177388,197034,226881,234170,288905,306697,200561,204854,118912,115167,183460,185557,193449,205436,251875,250214,206478,224882,259645,282853,329200,350047,209746,214489
2019.07,74113,77745,62212,64202,110619,118536,149082,155210,171454,181752,172446,174078,198454,201424,214002,227168,153827,161176,164502,171786,260292,276854,233224,249860,149494,161301,177010,196746,226599,234122,288645,306412,200648,205109,118786,115041,183326,185569,193251,205182,251975,250237,206406,225017,259625,282951,328786,349767,210327,215065
2019.08,74037,77729,62190,64222,110605,118512,148813,154917,171323,181679,172510,174139,198066,201129,214115,227388,153620,160918,164210,171591,259628,276292,232525,249331,149325,161152,176673,196527,226379,233996,288131,306168,200895,205464,118637,114937,183067,185499,193003,204923,252066,250327,206364,224989,259968,283254,328287,349415,210561,215392
2019.09,73952,77815,62161,64248,110478,118352,148510,154648,171103,181589,172440,174111,197927,200885,214094,227496,153356,160734,163953,171327,259204,276078,232383,249280,149061,161008,176863,196766,226091,233758,287751,305957,201077,205671,118471,114900,182913,185489,192829,204789,251923,250194,206185,224842,260305,283723,328073,349416,210593,215626
2019.1,73826,77715,62049,64221,110395,118199,148005,154193,170791,181413,172186,173966,197446,200492,214737,228263,153404,160785,163618,170935,258491,275413,232140,249078,148814,160823,176933,196919,225751,233395,287336,305694,201085,205804,118296,114721,182675,185377,192676,204463,251491,249750,206091,224710,260605,284107,327430,348898,212784,217900
2019.11,73811,77646,61994,64215,110309,118198,147641,153886,170452,181247,172158,174008,197117,200180,214727,228384,153443,160863,163309,170593,258292,275206,231914,248787,148620,160692,176958,197070,225520,233171,286885,305424,201156,205934,118251,114638,182543,185257,192354,204106,251238,249565,206017,224680,260695,284329,327185,348658,214047,219204
2019.12,73746,77544,61910,64261,110356,118314,147273,153616,170262,181088,172113,174081,196959,200056,214437,228213,153235,160719,163051,170311,257923,274982,231528,248504,148663,160734,176891,197144,225186,232979,286563,305233,200987,205677,118209,114601,182438,185240,191976,203987,251009,249085,206039,224787,260806,284363,327164,348797,215335,220732
2020.01,73688,77527,61946,64255,110701,118684,147020,153390,170164,181099,171964,174116,196803,199952,214247,228224,153058,160647,162701,170052,257746,274916,231171,248286,149114,161239,176782,197169,224995,232892,286309,305290,201065,205686,118299,114767,182504,185412,191772,203864,250931,248938,206112,224938,261190,284748,327261,349080,217545,223250
2020.02,73729,77580,61964,64295,110773,118904,146688,153109,170000,181032,171835,174237,196483,199831,214078,228405,152857,160432,162327,169756,257265,274575,230767,248238,149432,161895,176889,197426,224702,232630,285619,304800,200854,205391,118145,114682,183468,186640,191433,203768,250822,248765,206193,225143,261466,284970,326880,348902,220464,226423
2020.03,73704,77513,61839,64336,110667,118912,146300,152742,169568,180849,171896,174260,196076,199543,213926,228568,152747,160238,161879,169359,256726,274311,230147,247872,150051,162591,176943,197627,224241,232098,285085,304217,200558,205279,118044,114539,184316,187587,191272,203742,250743,248631,205787,224781,260654,284150,325859,348236,223189,229457
